OIL	SAP
acai berry oil	0.136
almond butter, sweet	0.098
almond oil	0.136
aloe vera butter	0.176
aloe vera oil	0.135
andiroba oil, refined	0.132
apricot kernel butter	0.097
apricot kernel oil	0.134
argan oil, deodorized	0.134
avocado butter	0.132
avocado oil	0.132
babassu oil	0.176
baobab oil	0.143
beef tallow	0.140
beeswax	0.069
black cumin seed oil	0.137
black raspberry seed oil	0.132
blackcurrant oil	0.134
borage oil	0.136
broccoli seed oil	0.121
buriti oil	0.149
calendula oil	0.134
camelina oil	0.132
camellia oil	0.134
candelilla wax pellets	0.038
canola oil	0.123
carnauba wax flakes	0.061
carrot oil	0.134
castor oil	0.127
cherry kernel oil	0.135
cocoa butter	0.136
coconut oil	0.194
cod liver oil	0.132
coffee bean butter	0.132
corn oil	0.135
cottonseed oil	0.137
cranberry seed oil	0.135
cucumber seed oil	0.130
cupuacu butter, refined	0.136
emu oil	0.135
evening primrose oil	0.130
Filippo Berio Extra Virgin Olive Oil	0.134
Filippo Berio Olive Oil	0.134
flax seed oil	0.135
flaxseed oil	0.135
grape seed oil	0.134
green coffee oil	0.137
hazelnut oil	0.134
hemp seed butter	0.132
hemp seed oil	0.135
illipe butter	0.136
java cotton oil	0.137
jojoba oil	0.069
karanja oil	0.130
karite butter	0.128
kokum butter	0.134
Kroger Pure Coconut Oil	0.194
Kroger Soybean Oil	0.135
kukui nut oil	0.135
lanolin	0.074
lard	0.138
macadamia nut butter	0.132
macadamia nut oil	0.137
mango butter	0.134
mango oil	0.132
manketti oil	0.139
maracuja oil	0.137
marula oil	0.135
meadowfoam oil	0.119
mink oil	0.140
monoi de tahiti oil, unscented	0.178
moringa oil	0.139
mustard oil	0.122
mustard seed oil	0.124
neem oil	0.136
niger-seed oil	0.135
NONE	0.000
nutmeg butter	0.117
olive butter	0.088
olive oil	0.134
olive oil pomace	0.134
organic red raspberry seed oil	0.132
palm butter	0.156
palm kernel oil	0.155
palm oil	0.140
papaya oil	0.134
passion flower oil	0.137
peach kernel oil	0.136
peanut oil	0.136
pecan oil	0.135
pequi oil	0.137
perilla oil	0.135
pistachio nut butter	0.132
poppy seed oil	0.138
pumpkin seed oil	0.134
rapeseed oil	0.124
red raspberry seed oil	0.132
rice bran oil	0.131
roasted coffee oil	0.130
rosehip oil	0.133
safflower oil	0.136
seabuckthorn oil	0.116
sesame oil	0.135
sesame seed oil	0.133
shea butter	0.126
shea oil	0.128
soybean oil	0.135
sunflower seed oil	0.134
sweet almond oil	0.136
tallow	0.140
tamanu (foraha oil)	0.148
vegetable fat	0.136
vegetable shortening	0.136
virgin coconut cream oil	0.180
Walmart soybean oil	0.135
walnut oil	0.136
watermelon seed oil	0.135
wheatgerm oil	0.132
yangu (cape chestnut) oil	0.135
